Trial,ESN,Name,Lat,Lng,Timestamp,Datetime,Order ,ID ,,,,
1,331254,UNHCMB,43.079613,-70.884798,1342144500,7/12/12 21:55,81,LB21,,,,,0.26715923253147866
1,331254,UNHCMB,43.077682,-70.887887,1342142700,7/12/12 21:25,82,LB21,,,,,0.3300146418927835
1,331254,UNHCMB,43.076813,-70.888553,1342140960,7/12/12 20:56,83,LB21,,,,,0.11066927901375452
1,331254,UNHCMB,43.076202,-70.888102,1342139100,7/12/12 20:25,84,LB21,,,,,0.07713754389984773
1,331254,UNHCMB,43.075622,-70.887051,1342137360,7/12/12 19:56,85,LB21,,,,,0.10692101113739808
1,331254,UNHCMB,43.075161,-70.885677,1342135560,7/12/12 19:26,86,LB21,,,,,0.12273297101811642
1,331254,UNHCMB,43.074603,-70.884175,1342133760,7/12/12 18:56,87,LB21,,,,,0.136783680653847
1,331254,UNHCMB,43.073637,-70.88218,1342131960,7/12/12 18:26,88,LB21,,,,,0.19428941852140794
1,331254,UNHCMB,43.070258,-70.880613,1342130100,7/12/12 17:55,89,LB21,,,,,0.3964528002485935
1,331254,UNHCMB,43.072125,-70.877159,1342128360,7/12/12 17:26,90,LB21,,,,,0.3487994057730971
1,331254,UNHCMB,43.075504,-70.872202,1342126560,7/12/12 16:56,91,LB21,,,,,0.5503667602700858
1,331254,UNHCMB,43.081416,-70.867245,1342124760,7/12/12 16:26,92,LB21,,,,,0.7703873957191981
1,331254,UNHCMB,43.085976,-70.862482,1342122900,7/12/12 15:55,93,LB21,,,,,0.6373475860756534
1,331254,UNHCMB,43.089119,-70.861108,1342121100,7/12/12 15:25,94,LB21,,,,,0.3666346550834479
1,331254,UNHCMB,43.091598,-70.859799,1342119300,7/12/12 14:55,95,LB21,,,,,0.29525105612489666
1,331254,UNHCMB,43.09148,-70.860229,1342117500,7/12/12 14:25,96,LB21,,,,,0.037277178353392865
1,331254,UNHCMB,43.091394,-70.860314,1342115700,7/12/12 13:55,97,LB21,,,,,0.011786070077191476
1,331254,UNHCMB,43.091544,-70.86025,1342113900,7/12/12 13:25,98,LB21,,,,,0.017459144325733613
1,331254,UNHCMB,43.08928,-70.860143,1342112100,7/12/12 12:55,99,LB21,,,,,0.25173705933557544
1,331254,UNHCMB,43.084248,-70.864735,1342110300,7/12/12 12:25,100,LB21,,,,,0.6719887083138139
1,331254,UNHCMB,43.07603,-70.869219,1342108560,7/12/12 11:56,101,LB21,,,,,0.9830765053354742
1,331254,UNHCMB,43.071942,-70.872524,1342106760,7/12/12 11:26,102,LB21,,,,,0.5275829112812866
1,331254,UNHCMB,43.068981,-70.873425,1342104900,7/12/12 10:55,103,LB21,,,,,0.33707270742883905
1,331254,UNHCMB,43.06528,-70.876472,1342103100,7/12/12 10:25,104,LB21,,,,,0.47993275811942415
1,331254,UNHCMB,43.063402,-70.879991,1342101360,7/12/12 9:56,105,LB21,,,,,0.35380046095721196
1,331254,UNHCMB,43.062501,-70.882587,1342099500,7/12/12 9:25,106,LB21,,,,,0.23333823647258709
1,331254,UNHCMB,43.062308,-70.883231,1342097700,7/12/12 8:55,107,LB21,,,,,0.05651360609542361
1,331254,UNHCMB,43.062372,-70.883124,1342095960,7/12/12 8:26,108,LB21,,,,,0.01122715307101364
1,331254,UNHCMB,43.062426,-70.882051,1342094100,7/12/12 7:55,109,LB21,,,,,0.08732241609829822
1,331254,UNHCMB,43.063027,-70.88057,1342092300,7/12/12 7:25,110,LB21,,,,,0.13754337703990963
1,331254,UNHCMB,43.06425,-70.879476,1342090860,7/12/12 7:01,111,LB21,,,,,0.16235543895665214
1,331254,UNHCMB,43.065763,-70.879412,1342088700,7/12/12 6:25,112,LB21,,,,,0.16821256321663688
1,331254,UNHCMB,43.067404,-70.880141,1342086900,7/12/12 5:55,113,LB21,,,,,0.19171968184196703
1,331254,UNHCMB,43.069979,-70.876257,1342085100,7/12/12 5:25,114,LB21,,,,,0.4257914113397323
1,331254,UNHCMB,43.075612,-70.871494,1342083300,7/12/12 4:55,115,LB21,,,,,0.7357478832962646
1,331254,UNHCMB,43.080729,-70.869176,1342081500,7/12/12 4:25,116,LB21,,,,,0.5989462445061688
1,331254,UNHCMB,43.084087,-70.866065,1342080060,7/12/12 4:01,117,LB21,,,,,0.450557174197036
1,331254,UNHCMB,43.088218,-70.861602,1342077900,7/12/12 3:25,118,LB21,,,,,0.5847460361862148
1,331254,UNHCMB,43.092123,-70.8601,1342076100,7/12/12 2:55,119,LB21,,,,,0.45073762832790615
1,331254,UNHCMB,43.09413,-70.860658,1342074660,7/12/12 2:31,120,LB21,,,,,0.22757831587538663
1,331254,UNHCMB,43.092595,-70.860593,1342072500,7/12/12 1:55,121,LB21,,,,,0.17065858148560276
1,331254,UNHCMB,43.091565,-70.859993,1342070760,7/12/12 1:26,122,LB21,,,,,0.12438464603500832
1,331254,UNHCMB,43.092113,-70.859799,1342068960,7/12/12 0:56,123,LB21,,,,,0.06289862942244448
1,331254,UNHCMB,43.091469,-70.860379,1342067160,7/12/12 0:26,124,LB21,,,,,0.08565514527134122
